/chain,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
32,,Company Identifier,SIC Code,SIC Description,Dist_0016,Retail_0016,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0017,Dist_0128,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0017,Retail_0017,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0018,Dist_0129,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0018,Retail_0018,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0019,Dist_0130,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0019,Retail_0019,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0020,Dist_0131,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0020,Retail_0020,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0021,Dist_0132,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0021,Retail_0021,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0022,Dist_0133,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0022,Retail_0022,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0023,Dist_0134,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0023,Retail_0023,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0024,Dist_0135,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0024,Retail_0024,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0025,Dist_0136,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0025,Retail_0025,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0026,Dist_0137,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0026,Retail_0026,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0027,Dist_0138,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0027,Retail_0027,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0028,Dist_0139,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0028,Retail_0028,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0029,Dist_0140,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0029,Retail_0029,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0030,Dist_0141,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0030,Retail_0030,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0031,Dist_0142,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0031,Retail_0031,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0032,Dist_0143,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0032,Retail_0032,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0033,Dist_0144,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0033,Retail_0033,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0034,Dist_0145,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0034,Retail_0034,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0035,Dist_0146,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0035,Retail_0035,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0036,Dist_0147,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0036,Retail_0036,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0037,Dist_0148,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0037,Retail_0037,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0038,Dist_0149,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0038,Retail_0038,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0039,Dist_0150,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0039,Retail_0039,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0040,Dist_0151,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0040,Retail_0040,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0041,Dist_0152,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0041,Retail_0041,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0042,Dist_0153,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0042,Retail_0042,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0043,Dist_0154,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0043,Retail_0043,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0044,Dist_0155,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0044,Retail_0044,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0045,Dist_0156,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0045,Retail_0045,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0046,Dist_0157,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0046,Retail_0046,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0047,Dist_0158,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0047,Retail_0047,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0048,Dist_0159,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0048,Retail_0048,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0049,Dist_0160,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0049,Retail_0049,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0050,Dist_0161,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0050,Retail_0050,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0051,Dist_0162,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0051,Retail_0051,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0052,Dist_0163,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0052,Retail_0052,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0053,Dist_0164,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0053,Retail_0053,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0054,Dist_0165,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0054,Retail_0054,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0055,Dist_0166,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0055,Retail_0055,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0056,Dist_0167,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0056,Retail_0056,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0057,Dist_0168,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0057,Retail_0057,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0058,Dist_0169,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0058,Retail_0058,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0059,Dist_0170,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0059,Retail_0059,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0060,Dist_0171,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0060,Retail_0060,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0061,Dist_0172,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0061,Retail_0061,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0062,Dist_0173,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0062,Retail_0062,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0063,Dist_0174,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0063,Retail_0063,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0064,Dist_0175,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0064,Retail_0064,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0065,Dist_0176,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0065,Retail_0065,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0066,Dist_0177,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0066,Retail_0066,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0067,Dist_0178,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0067,Retail_0067,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0068,Dist_0179,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0068,Retail_0068,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0069,Dist_0180,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0069,Retail_0069,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0070,Dist_0181,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0070,Retail_0070,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0071,Dist_0182,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0071,Retail_0071,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0072,Dist_0183,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0072,Retail_0072,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0073,Dist_0184,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0073,Retail_0073,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0074,Dist_0185,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0074,Retail_0074,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0075,Dist_0186,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0075,Retail_0075,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0076,Dist_0187,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0076,Retail_0076,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0077,Dist_0188,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0077,Retail_0077,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0078,Dist_0189,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0078,Retail_0078,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0079,Dist_0190,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0079,Retail_0079,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0080,Dist_0191,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0080,Retail_0080,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0081,Dist_0192,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0081,Retail_0081,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0082,Dist_0193,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0082,Retail_0082,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0083,Dist_0194,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0083,Retail_0083,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0084,Dist_0195,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0084,Retail_0084,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0085,Dist_0196,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0085,Retail_0085,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0086,Dist_0197,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0086,Retail_0086,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0087,Dist_0198,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0087,Retail_0087,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0088,Dist_0199,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0088,Retail_0088,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0089,Dist_0200,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0089,Retail_0089,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0090,Dist_0201,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0090,Retail_0090,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0091,Dist_0202,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0091,Retail_0091,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0092,Dist_0203,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0092,Retail_0092,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0093,Dist_0204,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0093,Retail_0093,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0094,Dist_0205,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0094,Retail_0094,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0095,Dist_0206,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0095,Retail_0095,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0096,Dist_0207,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0096,Retail_0096,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0097,Dist_0208,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0097,Retail_0097,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0098,Dist_0209,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0098,Retail_0098,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0099,Dist_0210,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0099,Retail_0099,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0100,Dist_0211,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0100,Retail_0100,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0101,Dist_0212,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0101,Retail_0101,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0102,Dist_0213,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0102,Retail_0102,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0103,Dist_0214,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0103,Retail_0103,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0104,Dist_0215,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0104,Retail_0104,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0105,Dist_0216,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0105,Retail_0105,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0106,Dist_0217,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0106,Retail_0106,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0107,Dist_0218,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0107,Retail_0107,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0108,Dist_0219,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0108,Retail_0108,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0109,Dist_0220,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0109,Retail_0109,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0110,Dist_0221,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0110,Retail_0110,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0111,Dist_0222,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0111,Retail_0111,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Manuf_0097,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Manuf_0098,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Manuf_0143,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Manuf_0101,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Manuf_0102,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Manuf_0103,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Part_0135,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Manuf_0105,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Manuf_0153,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Manuf_0106,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Manuf_0107,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Manuf_0155,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Manuf_0222,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Manuf_0108,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Manuf_0109,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Manuf_0152,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0110,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Manuf_0111,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Manuf_0112,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Manuf_0113,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Manuf_0157,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0015,Manuf_0114,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0016,Manuf_0115,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0016,Manuf_0127,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0017,Manuf_0116,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0018,Manuf_0117,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0018,Manuf_0136,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Manuf_0118,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Manuf_0121,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Manuf_0138,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0020,Manuf_0119,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0021,Manuf_0120,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Manuf_0021,Manuf_0140,,,,,,,,,,,,,,,,
