/chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@StageTime_4_p,/stages/stage/@StageTime_4_v,/stages/stage/@StageTime_5_p,/stages/stage/@StageTime_5_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
5,,Company Identifier,SIC Code,SIC Description,Part_0007,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0003,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0003,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0003,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0004,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0005,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0004,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0004,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0005,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0005,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Dist,2.47,Dist_0001,1,,,,,,,,,,,,,288,200
5,,Company Identifier,SIC Code,SIC Description,,,,,3,,Manuf,0.87,Manuf_0001,1,,,,,,,,,,,,,176,125
5,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,2.74,Manuf_0002,2.05,0.25,1,0.5,2,0.2,3,0.05,4,,,,0.804673847,416,275
5,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,2.39,Manuf_0003,2.05,0.25,1,0.5,2,0.2,3,0.05,4,,,,0.804673847,416,275
5,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,1.59,Manuf_0004,2.05,0.25,1,0.5,2,0.2,3,0.05,4,,,,0.804673847,416,275
5,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,2.87,Manuf_0005,2.05,0.25,1,0.5,2,0.2,3,0.05,4,,,,0.804673847,416,275
5,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,0.8,Part_0001,38,0.6,35,0.3,40,0.1,50,,,,,,4.582575695,48,50
5,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,1.24,Part_0002,34.55,0.2,32,0.25,34,0.3,35,0.2,36,0.05,39,,1.687453703,48,50
5,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,1.2,Part_0003,14,,,,,,,,,,,,,48,50
5,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,0.85,Part_0004,33.75,0.25,30,0.75,35,,,,,,,,2.165063509,48,50
5,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,0.83,Part_0005,33.75,0.25,30,0.75,35,,,,,,,,2.165063509,48,50
5,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,1.19,Part_0006,12,,,,,,,,,,,,,48,50
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,1.03,Part_0007,11.75,,,,,,,,,,,,4.82,288,200
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,14.01,Part_0008,35,,,,,,,,,,,,4.23,288,200
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,1.07,Part_0009,10,,,,,,,,,,,,,288,200
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,0.83,Part_0010,36,0.25,30,0.5,35,0.05,40,0.2,45,,,,5.14781507,288,200
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,1.27,Part_0011,10,,,,,,,,,,,,,288,200
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,17.97,Part_0012,40.2,,,,,,,,,,,,6.17,288,200
5,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,0.88,Part_0013,10,,,,,,,,,,,,,288,200
5,,Company Identifier,SIC Code,SIC Description,,,353,2,0,0.98,Retail,1.19,Retail_0001,5.1,,,,,,,,,,,395.78,0.3,544,350
5,,Company Identifier,SIC Code,SIC Description,,,482,2,0,0.98,Retail,1.45,Retail_0002,3,,,,,,,,,,,450.28,,544,350
5,,Company Identifier,SIC Code,SIC Description,,,3750,2,0,0.98,Retail,1.58,Retail_0003,2,,,,,,,,,,,2573.63,,544,350
5,,Company Identifier,SIC Code,SIC Description,,,4637,2,0,0.98,Retail,2.4,Retail_0004,3,,,,,,,,,,,3043.73,,544,350
5,,Company Identifier,SIC Code,SIC Description,,,435,2,0,0.98,Retail,1.44,Retail_0005,5.1,,,,,,,,,,,458.75,0.3,544,350
5,,Company Identifier,SIC Code,SIC Description,,,367,2,0,0.98,Retail,1.25,Retail_0006,5.1,,,,,,,,,,,367.7,0.3,544,350
5,,Company Identifier,SIC Code,SIC Description,,,2793,2,0,0.98,Retail,1.59,Retail_0007,4.1,,,,,,,,,,,2048.39,0.3,544,350
5,,Company Identifier,SIC Code,SIC Description,,,3554,2,0,0.98,Retail,1.98,Retail_0008,3,,,,,,,,,,,3032.27,,544,350
