pred,succ,quantity
N000244,N000829,1.2931222288831308
N000246,N000280,1.3154305750269812
N000247,N000670,2.372104256422662
N000252,N000559,1.7818687602105894
N000256,N000732,2.990383403279128
N000259,N000640,1.1471633527317122
N000062,N000264,2.216747375549287
N000203,N000267,1.7734035394712968
N000180,N000203,2.018202299461902
N000270,N000306,2.880581080751821
N000272,N000929,2.6763946635432787
N000274,N000910,2.5789557216958294
N000097,N000275,1.576949870084798
N000278,N000446,1.6504485123436334
N000202,N000281,2.876074963358308
N000282,N000677,2.0639056103467617
N000212,N000284,1.290141600802428
N000212,N000475,1.4637084559763398
N000072,N000288,1.2702932562505718
N000072,N000705,2.005632178379553
N000292,N000618,2.9841709137899746
N000029,N000295,1.4478446441221113
N000029,N000907,2.698063958415033
N000298,N000620,2.4773012244519528
N000197,N000304,1.1276055754003247
N000197,N000695,2.792713669283356
N000062,N000306,2.7673873390015573
N000062,N000508,2.391382465808448
N000308,N000340,1.3393182403747328
N000309,N000338,2.755442545044224
N000286,N000313,1.822898849880264
N000314,N000858,2.7197212053837725
N000291,N000317,1.8519675441144494
N000291,N000297,2.106008913388175
N000297,N000824,1.8918854989469183
N000320,N000972,2.960789284713129
N000323,N000695,2.564848844861175
N000324,N000897,1.1851470295193793
N000325,N000968,2.3195969824157316
N000018,N000326,1.5650708453251283
N000018,N000168,2.8040476797632516
N000265,N000327,1.0026368305009197
N000265,N000276,1.203868059686123
N000330,N000987,1.2519814833413767
N000198,N000331,2.9909634456904
N000332,N000731,2.0598167931887836
N000335,N000664,2.437768625679557
N000339,N000589,1.1429723048398688
N000344,N000806,2.961308138697122
N000190,N000346,2.884985078164676
N000347,N000993,2.3519023861536215
N000160,N000349,1.7874335512528274
N000215,N000352,2.7802121689944954
N000215,N000788,1.105753892223963
N000358,N000465,1.693599745044612
N000027,N000359,1.644738616982972
N000027,N000400,1.0788757172819066
N000360,N000988,1.524870465150747
N000363,N000852,2.9210907728043716
N000366,N000432,1.3208271534569789
N000218,N000367,1.7049442556996117
N000369,N000850,2.3052962041581364
N000220,N000371,2.286049454166462
N000372,N000917,1.609044337829667
N000084,N000373,1.5283284258742431
N000084,N000393,2.851648013354401
N000305,N000376,2.6125600761886503
N000050,N000379,2.730233327076201
N000050,N000779,1.7937797139196683
N000381,N000673,2.659506381089794
N000384,N000645,1.7005417517779182
N000153,N000386,2.54839133769256
N000387,N000932,1.999934002927728
N000389,N000409,1.49821917243339
N000391,N000885,1.5610352316701186
N000392,N000626,1.4942703873984358
N000277,N000395,1.4238263362397718
N000277,N000350,2.6317536695913857
N000397,N000699,1.0859192926331362
N000398,N000767,2.9436278270777425
N000097,N000401,2.4673001455921217
N000097,N000348,1.5910066767034683
N000378,N000402,2.46161072146156
N000406,N000847,2.45061386974768
N000408,N000477,2.0958475041774176
N000410,N000742,2.22889280939257
N000413,N000425,2.150298092137929
N000321,N000415,1.2992987614203109
N000419,N000614,2.534445956704136
N000255,N000421,2.349877001640337
N000253,N000422,1.5408424971547294
N000253,N000706,2.806282562981922
N000286,N000423,2.246856830365802
N000054,N000425,2.251694531832557
N000279,N000429,2.380753543494272
N000279,N000341,2.962112212734397
N000067,N000432,2.737317284590103
N000435,N000966,1.5379029994556694
N000140,N000436,1.6300727680894014
N000280,N000437,2.928717308418485
N000219,N000439,2.673779340401829
N000440,N000934,1.425177865511661
N000441,N000481,1.3046291154620906
N000220,N000443,1.1421965783417625
N000268,N000444,2.2334962876689826
N000010,N000268,2.260555611589495
N000200,N000445,1.524447635172057
N000083,N000200,1.1590699270060822
N000083,N000845,2.820846045063219
N000145,N000450,1.7883424404781227
N000426,N000451,2.0535102322547223
N000407,N000455,2.802057552260142
N000393,N000459,1.5844354544445072
N000461,N000472,1.4716895515396295
N000463,N000639,2.542812697570449
N000466,N000707,1.4144968826933546
N000471,N000706,2.1253566888914968
N000472,N000859,2.8038368482053655
N000350,N000473,1.8369735177236086
N000474,N000506,1.873845563403599
N000322,N000477,2.0130203121242447
N000322,N000858,2.3645719966318977
N000478,N000487,2.236992314040965
N000481,N000497,1.7544214890578247
N000482,N000535,2.1895562584809394
N000483,N000814,2.7230359446496535
N000336,N000484,1.2944178652739105
N000150,N000487,1.819237808680462
N000150,N000631,2.8009856611932333
N000026,N000488,1.480203681800623
N000026,N000047,1.8475796958891488
N000047,N000963,1.6745934209808166
N000248,N000491,2.8885259180394742
N000492,N000941,2.079047151615332
N000495,N000687,2.7163794940144848
N000479,N000497,1.3031348174521096
N000498,N000898,2.062152079678109
N000501,N000927,1.137631205610937
N000502,N000874,1.1065023593178085
N000503,N000504,2.214926286388628
N000476,N000504,2.534892674639187
N000476,N000880,2.3079298239059436
N000508,N000693,2.6879236472014814
N000510,N000932,1.5665787157938078
N000519,N000744,2.3210702063787716
N000378,N000520,2.329662143189815
N000521,N000646,2.356413641255675
N000524,N000623,1.3115689132914758
N000525,N000574,2.714718664804686
N000075,N000529,2.7044056970298933
N000147,N000530,2.615335517148229
N000147,N000375,1.46293302472814
N000240,N000375,1.016212038059877
N000333,N000531,1.0669518975705088
N000333,N000576,1.7098853636495697
N000179,N000534,2.5476548318746937
N000179,N000876,2.0677413133654614
N000328,N000535,1.29015586974064
N000310,N000328,1.231852688982663
N000348,N000537,2.9521974534682442
N000538,N000976,2.7836867108574808
N000540,N000919,2.81074308588097
N000541,N000969,1.3301797055122557
N000542,N000722,1.9359302768768187
N000276,N000547,2.2241347360087627
N000431,N000551,1.3574424893790875
N000263,N000431,1.0159321655633855
N000161,N000263,2.365187738789517
N000081,N000552,1.2719933850795688
N000553,N000901,2.909851368409843
N000276,N000554,1.4913665895606159
N000493,N000555,2.660667505736484
N000124,N000493,2.8222343597288733
N000124,N000285,1.1364366072262662
N000556,N000810,2.2905453975878154
N000562,N000875,2.1571583097447697
N000563,N000657,2.4029054191100956
N000571,N000814,1.8152493049068517
N000536,N000572,1.165159907830637
N000250,N000573,2.6250700999963748
N000566,N000575,1.9798304778547378
N000468,N000566,1.7627858103496805
N000576,N000637,1.537105106107681
N000580,N000676,2.684255702832058
N000581,N000979,2.263067539706995
N000250,N000582,2.722089919791492
N000185,N000584,2.3606233115519624
N000185,N000883,1.88956351062812
N000303,N000585,2.9774394071114054
N000303,N000568,2.0011533459693367
N000505,N000568,1.083339127516018
N000345,N000587,2.7406347426141684
N000345,N000570,1.5131675583019308
N000518,N000591,2.974977496156283
N000595,N000639,2.1005035441082187
N000409,N000596,1.264191909609791
N000586,N000597,2.9440878422643926
N000598,N000806,2.530983474603177
N000468,N000601,2.220707092897156
N000603,N000725,1.733743912716753
N000604,N000690,2.4097582400480637
N000182,N000605,2.423966523435849
N000079,N000606,1.7699583733617523
N000079,N000609,1.147354024026602
N000607,N000861,1.5187543056919637
N000158,N000608,2.9028402217699116
N000158,N000438,2.3713259185256774
N000438,N000526,2.6747911970824276
N000351,N000526,1.8603801543139789
N000004,N000609,2.914556746483378
N000004,N000984,2.4588872737948178
N000388,N000610,2.5824076306167476
N000494,N000611,1.0486950209139745
N000411,N000614,2.748917758246507
N000123,N000411,2.635311372183497
N000123,N000550,1.1031691051629766
N000117,N000615,2.4566843957486997
N000475,N000616,2.574162421721157
N000019,N000618,2.2537398357882332
N000019,N000368,2.5107609265636723
N000368,N000505,2.008060251659384
N000220,N000505,2.180950626079604
N000007,N000620,1.2219585665313553
N000207,N000623,2.586633961183055
N000034,N000207,2.398398654257687
N000034,N000517,1.2619141980391393
N000234,N000517,1.0020558392082406
N000624,N000746,1.5796126807189752
N000052,N000625,2.7720236477754185
N000052,N000857,1.0278213503475058
N000569,N000626,1.1099113001425935
N000628,N000708,1.9595810025519496
N000629,N000762,2.0466178683986564
N000567,N000630,2.800467089735614
N000567,N000985,1.2876428973286103
N000053,N000632,1.0219005061918949
N000634,N000814,1.063679418999339
N000635,N000697,2.6838680834000144
N000456,N000644,2.7294031307565305
N000183,N000646,1.0021542483184047
N000183,N000807,2.6563448733499437
N000104,N000647,2.667107343784644
N000409,N000651,2.2633536606796483
N000198,N000409,1.2797355994936237
N000653,N000996,1.746526926406211
N000658,N000817,1.5660602208801362
N000486,N000660,1.8392938159324452
N000107,N000486,2.4891714573057966
N000187,N000662,2.8139154303676692
N000665,N000668,2.6208637746291896
N000254,N000667,2.3697069852577144
N000226,N000669,2.120188957624154
N000226,N000385,1.1160212376755272
N000670,N000844,2.049136973610424
N000480,N000672,1.5180303539228561
N000673,N000726,2.5701859399516804
N000394,N000674,1.1152578512908566
N000638,N000678,2.4580963167058707
N000638,N000886,2.5059990700364043
N000249,N000679,1.8431495322551765
N000564,N000680,2.6359378708471004
N000558,N000564,2.233086617096146
N000685,N000889,2.0122717410870514
N000687,N000835,2.6285735908437013
N000622,N000689,2.017603632088333
N000622,N000777,1.1928389647971145
N000691,N000863,1.6829342001786254
N000694,N000766,2.36438984824357
N000216,N000695,2.273817141913767
N000102,N000696,2.69901502166916
N000102,N000311,2.360499386731136
N000188,N000311,1.9789844848622464
N000188,N000858,1.1120411393842358
N000382,N000700,2.57168912960796
N000382,N000869,1.8268083676164186
N000702,N000814,1.0860506165702852
N000663,N000703,1.8852202464087204
N000355,N000708,2.2788251799343957
N000709,N000717,1.8361496347374917
N000383,N000713,2.293575306870492
N000107,N000714,2.7682222924815445
N000715,N000717,2.2746144902003858
N000704,N000717,2.2785512035796205
N000310,N000704,2.590653747724005
N000310,N000836,2.7252139319347384
N000550,N000718,2.768800556055941
N000287,N000720,2.993471172859788
N000287,N000706,1.0746556169121546
N000706,N000939,1.735634182186126
N000721,N000909,2.6552893855506268
N000723,N000728,2.3996905225312473
N000724,N000779,2.6136734120664062
N000726,N000988,2.7624820366888967
N000198,N000727,2.054411808736475
N000198,N000641,2.9162466392408204
N000549,N000641,2.5673699496332283
N000012,N000549,1.977551601543874
N000012,N000470,1.6653914601282875
N000434,N000730,2.9939700308082084
N000434,N000654,1.2371266838212056
N000053,N000654,2.2503727593169005
N000731,N000944,1.4297678961835445
N000559,N000732,1.497378115930801
N000558,N000559,1.6052002765383568
N000299,N000733,1.5465178686775003
N000266,N000299,1.3964985824210274
N000734,N000880,1.7188343821535559
N000337,N000735,2.6984992677614494
N000305,N000737,2.6776440106899306
N000740,N000765,1.713312434751164
N000128,N000741,1.8627855605194736
N000155,N000742,1.8756305793127237
N000746,N000925,1.5141434402239786
N000280,N000747,1.3726445775034821
N000280,N000797,2.7088494949225685
N000128,N000750,2.3104691479379773
N000350,N000752,1.5677942505119897
N000030,N000350,2.7741916234591946
N000513,N000755,2.3122590331162085
N000513,N000826,1.730596337927168
N000053,N000756,1.6492283445069222
N000053,N000290,1.8649049444640764
N000290,N000427,2.7788783807079076
N000758,N000902,1.5330839293750478
N000043,N000759,1.7249730972414747
N000043,N000340,2.019915727020658
N000686,N000761,2.3331237592988705
N000686,N000771,1.194922286904595
N000213,N000762,1.083972871307636
N000617,N000766,2.055653417187191
N000767,N000943,1.3951845620359533
N000590,N000768,1.0823150497072487
N000590,N000739,1.55964183035501
N000739,N000820,1.3765556376776653
N000296,N000769,2.2022693190279234
N000258,N000770,2.8798027635502974
N000219,N000258,2.9151703380210336
N000219,N000336,2.8477031832895197
N000771,N000970,1.8910788454829293
N000558,N000772,1.8792569267981658
N000092,N000558,2.895887714441156
N000155,N000773,1.7135653938973037
N000155,N000462,1.2345479547501765
N000140,N000462,2.342362999930386
N000140,N000983,1.6803880771745867
N000748,N000774,1.3191826378146487
N000341,N000748,1.3991621313630214
N000456,N000775,2.7867044202847184
N000446,N000456,1.2821078811771696
N000142,N000446,1.37061760913972
N000142,N000234,1.6057823423056394
N000059,N000234,2.390189154317804
N000059,N000171,2.564665606647801
N000342,N000777,2.83011013315413
N000779,N000867,1.7992004111462914
N000232,N000780,1.3389287042164852
N000514,N000781,1.179008500713146
N000362,N000514,2.121341598074147
N000069,N000362,2.1122647569938797
N000722,N000782,2.3761532555576497
N000783,N000977,2.46149674836958
N000061,N000786,2.276605211719968
N000061,N000912,2.5957035399287536
N000684,N000790,1.4262166136605419
N000791,N000837,1.8498058126035766
N000180,N000793,2.4260473980883046
N000180,N000340,1.8361998810831275
N000794,N000845,2.3278910855631416
N000468,N000795,2.4600405694869725
N000468,N000636,2.543887317252521
N000636,N000677,2.642320772055185
N000612,N000677,2.9381369219659104
N000612,N000763,2.3225887804080663
N000763,N000908,2.754843140736655
N000134,N000797,1.6651771263078006
N000134,N000593,2.5686825690334016
N000108,N000799,1.0644658506388744
N000108,N000910,2.382667617176497
N000699,N000800,1.0752268127573459
N000511,N000699,1.201595668822913
N000588,N000801,1.25289658629084
N000383,N000588,1.4692649008848424
N000383,N000657,1.2267159665542946
N000657,N000683,2.7650180998197142
N000159,N000802,1.0843164089552602
N000159,N000257,2.2144898598005716
N000257,N000659,1.5742485600684515
N000659,N000875,1.6953767466551195
N000518,N000803,2.3612804574139217
N000518,N000661,2.9088692103447977
N000784,N000804,2.546081070808733
N000506,N000784,2.357252588505923
N000788,N000805,2.718877001838927
N000788,N000889,2.8317871655741085
N000377,N000808,2.6842792754492213
N000809,N000854,2.2053257928746044
N000655,N000810,2.7970756797676137
N000318,N000655,2.2923700904032067
N000452,N000811,2.588565937275833
N000452,N000536,2.548843489920132
N000536,N000736,2.034942251956661
N000354,N000812,1.5854279068623056
N000354,N000617,1.8001382247953166
N000418,N000617,1.6393415357908185
N000056,N000418,1.7180544667083186
N000056,N000859,2.199277009153377
N000286,N000813,2.7615367886808544
N000286,N000878,2.9648400565871382
N000015,N000814,1.9431840262644302
N000015,N000167,2.596626051608558
N000167,N000261,1.8475864768114145
N000225,N000261,2.241879438178059
N000225,N000858,1.4997880771758754
N000218,N000815,1.545620544759596
N000218,N000334,1.527291586330975
N000621,N000817,1.7799763391892587
N000621,N000836,1.6603660615690397
N000818,N000985,2.5257850728213302
N000613,N000819,1.7392428142280534
N000613,N000663,2.23292246094004
N000115,N000663,2.8774725653276096
N000821,N000894,2.3996014544327204
N000236,N000822,2.8188250207798617
N000236,N000963,1.2141113452320946
N000144,N000824,1.5620684049102205
N000144,N000745,1.2600565986032637
N000745,N000753,1.467917398961433
N000602,N000826,2.270564580834778
N000321,N000827,1.5974141849546766
N000162,N000321,1.925669073076192
N000162,N000294,2.7695161891253166
N000294,N000307,2.2324182375162467
N000307,N000475,1.6714234379915023
N000738,N000829,2.2837992209877562
N000627,N000830,2.122933718976477
N000273,N000627,1.5203742465290844
N000789,N000831,1.2425606888650147
N000789,N000888,1.4833519684779741
N000249,N000832,1.0271447313800983
N000834,N000937,2.4943025001469175
N000031,N000835,2.233886049657519
N000031,N000676,1.1230043966877459
N000433,N000676,2.3297374891064546
N000385,N000433,1.59343201218589
N000760,N000836,2.380866820823527
N000760,N000860,1.5884812218938855
N000357,N000837,1.2563728745823766
N000357,N000420,1.6963146092369694
N000840,N000878,2.007615766452239
N000841,N000854,1.1064265390860146
N000427,N000842,2.618427549375857
N000404,N000845,1.225133823450766
N000594,N000846,1.6068096364549622
N000390,N000847,2.68108040385209
N000390,N000522,2.4012114539711837
N000370,N000522,1.4174964185174197
N000370,N000966,2.7308541271176097
N000652,N000848,1.5983583265879604
N000248,N000652,1.1845471915008712
N000599,N000849,2.579805628702708
N000599,N000876,2.642396645836523
N000548,N000850,2.459470801758018
N000548,N000719,2.695388254797696
N000205,N000719,2.5833353531023096
N000365,N000852,2.742137416456872
N000365,N000489,1.7150557510004008
N000248,N000489,2.75855520740066
N000248,N000650,2.583388342820472
N000075,N000853,1.4707089586583721
N000075,N000355,1.025086040841329
N000453,N000856,1.6810763734718583
N000416,N000453,1.163258463476502
N000081,N000857,2.65493890612769
N000081,N000208,2.5242811221428436
N000860,N000920,1.0023835457550414
N000404,N000861,1.9630776052105707
N000065,N000404,1.6046666921161667
N000065,N000843,2.8231614429117977
N000843,N000988,2.946031098780387
N000864,N000923,1.7712547601589848
N000139,N000867,2.0707671472073326
N000139,N000341,1.1477266407464217
N000341,N000698,2.667199134537861
N000698,N000979,2.5487500400744656
N000693,N000868,1.3397817628745023
N000523,N000693,1.5132208921791566
N000523,N000839,2.0715623984093563
N000738,N000839,2.857097492182497
N000405,N000738,2.9442612336137257
N000302,N000405,2.253201268979333
N000161,N000302,1.125310708156666
N000161,N000318,2.6315137450850417
N000869,N000988,2.856127215736975
N000583,N000870,2.5493124457242233
N000168,N000583,1.273893692090846
N000833,N000871,2.0249454856556923
N000631,N000833,1.8280799502152856
N000145,N000631,2.1028323963384303
N000145,N000987,2.7053009605295895
N000725,N000872,2.469649555388974
N000087,N000725,2.323135992300836
N000546,N000874,1.3167656328245112
N000460,N000875,2.9728148376707635
N000865,N000876,1.9968149236644634
N000100,N000877,1.4415492775511014
N000494,N000878,1.2225245708889323
N000394,N000879,2.3762796234385375
N000394,N000776,2.704912606175076
N000642,N000776,2.1497336837564225
N000388,N000642,2.0991792349371625
N000128,N000880,2.9110917469553437
N000128,N000374,1.6641904503840776
N000057,N000881,2.8732105841548865
N000057,N000690,2.038965789966376
N000283,N000690,1.4935251885440004
N000586,N000883,2.6469601492563926
N000586,N000950,2.124786597128413
N000656,N000884,1.047762290328796
N000220,N000656,1.0541128963817012
N000220,N000675,1.2524958883053905
N000077,N000675,2.1981733504757583
N000077,N000961,2.1723228728598505
N000238,N000885,1.8301463467163237
N000238,N000545,1.4199034382421116
N000506,N000545,1.5172041582334925
N000206,N000886,1.9482925772449526
N000206,N000254,1.8343233767167801
N000254,N000293,2.7467743096238175
N000049,N000293,1.8168361863479123
N000049,N000152,1.6921653805623995
N000152,N000893,2.0237638177859263
N000785,N000887,1.1500355292554096
N000544,N000889,2.70957489642549
N000705,N000890,2.1032037040566736
N000054,N000891,2.085467985175131
N000054,N000068,2.5227886021248436
N000068,N000245,1.6053818378716918
N000245,N000417,2.2059667825755964
N000417,N000729,1.7337003697687863
N000592,N000729,2.749728139240739
N000266,N000892,1.0937766213414652
N000266,N000888,1.9725363797680755
N000273,N000888,2.125626257295
N000202,N000273,1.1966879823564078
N000202,N000633,2.8104443605794476
N000213,N000633,1.7672044579809219
N000100,N000213,1.8714963860714569
N000100,N000104,1.7871142283637194
N000008,N000104,1.5065639476302324
N000008,N000348,1.0778435523750067
N000022,N000348,1.3442130319318615
N000022,N000560,2.138127803936223
N000560,N000995,2.612213584832917
N000399,N000893,2.174632462086436
N000399,N000671,2.2428306710301715
N000668,N000671,1.224727396227517
N000851,N000895,2.868753312075734
N000020,N000896,2.9066471016464566
N000447,N000897,1.0419030328398655
N000078,N000447,2.5989941125182163
N000078,N000925,1.1846723579407121
N000285,N000898,2.012404647722024
N000285,N000577,2.4986256439196604
N000469,N000901,2.2614087896925095
N000569,N000902,2.789610431644539
N000115,N000569,2.672375034069603
N000115,N000400,1.716266109761648
N000544,N000903,2.4156426170436425
N000276,N000544,1.9225191158263661
N000035,N000276,2.896611059287443
N000035,N000705,1.170783106584354
N000744,N000904,2.046254615945513
N000485,N000744,2.9313557916838286
N000485,N000751,1.835443633713786
N000094,N000751,1.0416657976597805
N000865,N000905,1.95597083116066
N000844,N000865,2.056981741307749
N000343,N000906,1.3901244166735098
N000343,N000684,1.130638475477141
N000697,N000907,2.263040275740095
N000030,N000697,1.27825737371096
N000499,N000908,2.8231625672211065
N000426,N000499,2.7046745336475735
N000426,N000661,2.4014358146523294
N000364,N000661,2.620460585512535
N000364,N000467,1.8084397801062873
N000500,N000909,2.8966710413045678
N000500,N000931,1.7863094241467419
N000009,N000910,2.4076682419741013
N000009,N000668,2.7129115639559958
N000668,N000942,1.494141734770919
N000859,N000911,1.4145108268931808
N000859,N000998,1.1988673029664894
N000010,N000916,1.4693980876865789
N000251,N000917,1.3991832244716806
N000838,N000918,2.1600599099729627
N000838,N000915,2.878494460658318
N000798,N000915,1.8202817794561994
N000506,N000798,1.2569067226438688
N000470,N000919,1.0293662755247557
N000412,N000920,1.9863394385004887
N000251,N000921,1.4153144668165314
N000092,N000927,1.6601390114379688
N000092,N000199,1.6278367638857167
N000251,N000928,1.5585485517611062
N000716,N000929,2.292053623121381
N000002,N000716,2.722630408964265
N000002,N000067,1.15846345114122
N000067,N000208,1.780581560340534
N000208,N000494,2.8539768993198695
N000403,N000930,2.211913860565546
N000403,N000579,2.464349699292706
N000030,N000931,2.749217470716413
N000030,N000337,1.7544896594302128
N000216,N000337,1.9917603436336901
N000216,N000470,1.1291702271222437
N000117,N000932,1.4384154172616703
N000117,N000854,1.761582660000192
N000854,N000855,2.04274212097189
N000855,N000971,2.4206069502482235
N000851,N000934,1.6982582083913689
N000296,N000935,2.722163165784774
N000296,N000649,1.7652016514909834
N000649,N000710,1.999143420403126
N000924,N000936,1.9224118629552875
N000806,N000924,1.7063937440803756
N000301,N000806,2.459084350972355
N000301,N000701,1.1683543299997954
N000260,N000701,2.7473280428889515
N000262,N000937,1.5632365617690371
N000490,N000940,1.493013974369283
N000490,N000914,2.5106285969771047
N000449,N000914,2.4053664880673145
N000449,N000858,2.232751339862689
N000127,N000941,1.170358215881599
N000204,N000942,2.109998128395823
N000204,N000543,2.113010213646321
N000069,N000543,1.2413480364262974
N000069,N000952,2.6089443788748277
N000844,N000943,1.2984652975236786
N000087,N000844,2.560726366062678
N000087,N000407,1.294279822002747
N000666,N000944,1.26123735748624
N000442,N000945,2.007379151127604
N000099,N000947,1.9425402416228104
N000099,N000946,2.116726922119656
N000020,N000946,2.894353800314708
N000020,N000645,1.0908804179626488
N000557,N000645,1.2867393852610096
N000190,N000557,2.82704792779301
N000190,N000749,1.8501960903472483
N000046,N000948,1.5147764122207008
N000103,N000949,2.506515030719533
N000103,N000643,1.5606462754334012
N000643,N000728,1.2784000268595759
N000182,N000950,2.249440550391536
N000240,N000951,1.6441953033748302
N000240,N000639,1.6663349491350947
N000532,N000639,2.0164241255797206
N000532,N000666,1.7328132637952989
N000496,N000666,2.029827158499569
N000338,N000952,1.0794016165242282
N000223,N000338,1.0505986730150538
N000223,N000664,1.4121229087064675
N000749,N000955,2.693093870029161
N000882,N000956,1.5405712606124102
N000926,N000957,1.431139771537683
N000336,N000926,1.6417211055024077
N000336,N000507,1.7076114982766746
N000507,N000851,1.7652290323912696
N000080,N000851,2.577884058651514
N000465,N000959,1.9042142971860943
N000412,N000465,2.656028559460256
N000374,N000960,1.656379951329257
N000825,N000962,2.6867555117037503
N000153,N000825,2.2087931133471583
N000153,N000863,2.395736879005672
N000074,N000863,1.9080795297525015
N000042,N000074,1.949913356765309
N000533,N000963,2.964323875161156
N000792,N000964,2.934030112304746
N000648,N000792,1.3210774232592446
N000182,N000965,2.0589306346002427
N000182,N000882,1.7505473224577195
N000130,N000882,2.330453415828453
N000479,N000966,2.3671683563760277
N000374,N000479,1.8133967808825566
N000374,N000975,1.9926129440608369
N000396,N000968,1.6338100247851715
N000064,N000969,2.9680073887144016
N000064,N000992,2.3506216760388376
N000428,N000970,1.192544299683615
N000094,N000428,1.8714223860774881
N000094,N000460,1.2771964306513557
N000319,N000460,1.3519714300997203
N000217,N000971,1.3699048632904491
N000217,N000764,2.9036870123221385
N000427,N000764,1.686746682840991
N000174,N000972,1.548697939246988
N000138,N000174,2.973235618248903
N000138,N000454,1.6268878353937006
N000232,N000454,1.0411482189044576
N000232,N000765,1.6279388559904715
N000565,N000765,2.4047109020673227
N000187,N000565,1.3230053895423524
N000082,N000187,1.3214475282379476
N000082,N000494,2.799252971291401
N000494,N000894,2.1415640178028967
N000042,N000973,2.5731541910537725
N000042,N000377,1.9278976732197541
N000480,N000974,2.058600455271285
N000318,N000480,1.8415233172000474
N000318,N000342,2.981223362428028
N000342,N000866,2.89518384341891
N000866,N000939,1.9071487997149736
N000036,N000939,1.2095540773413076
N000577,N000975,2.4031765935400893
N000577,N000858,1.7141065238528985
N000820,N000976,1.7725702652706619
N000380,N000978,2.1477435841155343
N000380,N000407,1.0729962585260273
N000496,N000979,1.0682141557964098
N000496,N000683,1.6380864222921336
N000650,N000980,2.6713317986912353
N000650,N000954,2.118999401357735
N000221,N000954,2.1249335398696214
N000221,N000237,1.2018465729148433
N000589,N000981,1.829984796497891
N000589,N000873,1.40456118503496
N000512,N000873,1.5581914540888193
N000210,N000512,1.0787106997938012
N000210,N000506,1.3049296335865124
N000506,N000578,1.663992882346795
N000378,N000578,2.321027519406056
N000378,N000787,2.0054073685257165
N000749,N000982,2.1893326669076534
N000736,N000749,2.815480147815368
N000191,N000736,2.059206770909096
N000711,N000983,1.8847558646603435
N000711,N000985,1.7347048373154195
N000464,N000984,1.5254038086939143
N000464,N000619,2.6236046579283903
N000230,N000619,2.606568532864266
N000230,N000416,1.611902611793079
N000539,N000985,1.5258206070452724
N000539,N000574,1.7056360239914066
N000574,N000953,1.5138894709653827
N000007,N000953,2.5510324944086813
